Kudos Date,Kudos Type,Parent ID
"Jul 12, 2014, 9:52:30 PM",Activity,165047061
"Jul 14, 2014, 12:07:45 AM",Activity,165589590
"Jul 14, 2014, 1:50:45 AM",Activity,165636038
"Jul 14, 2014, 2:09:14 AM",Activity,165591539
"Jul 14, 2014, 2:44:50 PM",Activity,165797192
"Jul 16, 2014, 2:58:32 PM",Activity,166686961
"Jul 18, 2014, 11:26:01 PM",Activity,167738061
"Jul 18, 2014, 11:26:02 PM",Activity,167738126
"Jul 20, 2014, 12:48:08 AM",Activity,168095555
"Jul 20, 2014, 9:57:53 PM",Activity,168601100
"Jul 20, 2014, 9:57:54 PM",Activity,168600950
"Jul 20, 2014, 9:57:57 PM",Activity,168478454
"Jul 20, 2014, 10:48:05 PM",Activity,168669663
"Jul 21, 2014, 12:08:19 AM",Activity,168689783
"Jul 22, 2014, 2:00:29 AM",Activity,169087394
"Jul 25, 2014, 1:36:11 AM",Activity,170463322
"Jul 26, 2014, 2:55:13 AM",Activity,170895024
"Jul 26, 2014, 7:24:43 PM",Activity,171182977
"Jul 27, 2014, 4:46:31 AM",Activity,171327314
"Jul 27, 2014, 4:48:01 AM",Activity,171158419
"Jul 28, 2014, 1:18:23 AM",Activity,171871093
"Jul 31, 2014, 2:41:00 AM",Activity,173261708
"Aug 1, 2014, 12:55:52 AM",Activity,173663357
"Aug 1, 2014, 11:50:40 PM",Activity,174085988
"Aug 3, 2014, 1:43:06 AM",Activity,174514546
"Aug 9, 2014, 4:15:38 PM",Activity,177384476
"Aug 9, 2014, 4:15:41 PM",Activity,177440051
"Aug 9, 2014, 4:15:47 PM",Activity,176499492
"Aug 9, 2014, 4:15:53 PM",Activity,176084246
"Aug 9, 2014, 4:15:54 PM",Activity,176057075
"Aug 9, 2014, 4:15:55 PM",Activity,176053596
"Aug 9, 2014, 10:03:05 PM",Activity,177909038
"Aug 9, 2014, 10:03:07 PM",Activity,177890336
"Aug 9, 2014, 10:03:08 PM",Activity,177908221
"Aug 10, 2014, 6:08:51 PM",Feed Entry,8387359
"Aug 10, 2014, 6:08:54 PM",Activity,177996692
"Sep 14, 2014, 9:57:58 PM",Activity,194581813
"Sep 14, 2014, 9:58:00 PM",Activity,194557353
"Sep 20, 2014, 10:03:41 PM",Activity,197155568
"Sep 20, 2014, 11:00:26 PM",Feed Entry,9808334
"Sep 20, 2014, 11:00:32 PM",Feed Entry,9808410
"Sep 20, 2014, 11:00:40 PM",Activity,197212629
"Sep 20, 2014, 11:00:41 PM",Activity,197213676
"Sep 21, 2014, 4:44:59 PM",Activity,197584759
"Sep 21, 2014, 4:45:00 PM",Activity,197585378
"Sep 23, 2014, 1:26:02 AM",Activity,198188067
"Sep 23, 2014, 1:26:03 AM",Activity,198188078
"Mar 16, 2015, 4:31:47 AM",Activity,268524350
"Mar 16, 2015, 4:31:51 AM",Activity,267751997
"Apr 13, 2015, 2:31:06 PM",Activity,284400514
"Apr 14, 2015, 3:55:23 AM",Activity,284948885
"Apr 18, 2015, 7:18:59 PM",Activity,287811759
"Apr 18, 2015, 8:51:58 PM",Activity,287990044
"Apr 19, 2015, 7:40:26 PM",Activity,288629848
"Apr 19, 2015, 9:38:34 PM",Activity,288794546
"Apr 19, 2015, 9:38:36 PM",Activity,288794325
"Apr 19, 2015, 9:38:42 PM",Activity,288759823
"Apr 19, 2015, 9:38:47 PM",Activity,288802913
"Apr 19, 2015, 10:51:01 PM",Activity,288536284
"Apr 19, 2015, 10:51:02 PM",Activity,288552222
"Apr 19, 2015, 10:51:27 PM",Activity,286469249
"Apr 20, 2015, 1:50:33 PM",Activity,288865640
"Apr 22, 2015, 4:56:42 AM",Activity,290072004
"Apr 22, 2015, 4:56:50 AM",Activity,290115837
"Apr 24, 2015, 6:13:35 PM",Activity,291620727
"Apr 25, 2015, 9:40:33 PM",Activity,292390179
"Apr 25, 2015, 9:40:34 PM",Activity,292475791
"Apr 25, 2015, 9:40:35 PM",Activity,292360382
